Periods,Thermal variable cost,Discharging power cost,Charging power cost,Power shedding cost,Total Cost
1,25950.0,0.0,-61.749,0.0,25888.251
2,25950.0,0.0,-69.999,0.0,25880.001
3,25950.0,0.0,-84.17099999999999,0.0,25865.829
4,25950.0,0.0,-87.83500000000001,0.0,25862.165
5,25049.59,0.0,-57.438,0.0,24992.152000000002
6,24974.934999999998,0.0,-31.752,0.0,24943.182999999997
7,25583.515,0.0,-5.773,0.0,25577.742
8,25950.0,12.375,-0.0,0.0,25962.375
9,25281.64,0.0,-9.27,0.0,25272.37
10,22139.55,0.0,-1.798,0.0,22137.752
11,20322.245,0.0,-0.327,0.0,20321.917999999998
12,18607.0,0.0,-0.05,0.0,18606.95
13,15321.76,0.0,-0.0,0.0,15321.76
14,15376.395,0.0,-0.0,0.0,15376.395
15,17636.239999999998,0.0,-0.0,0.0,17636.239999999998
16,21605.765,0.0,-0.0,0.0,21605.765
17,25950.0,12.162,-0.0,0.0,25962.162
18,25950.0,136.644,-0.0,0.0,26086.644
19,25950.0,136.9645,-0.0,0.0,26086.9645
20,25950.0,125.2945,-0.0,0.0,26075.2945
21,25950.0,92.492,-0.0,0.0,26042.492
22,25961.165,63.4115,-0.0,0.0,26024.5765
23,27331.38,0.0,-0.0,0.0,27331.38
24,26820.98,0.0,-0.0,0.0,26820.98
